"ID"	"State"	"InitialState"
"107"	"TCGA.UE.A6QT"	"S03"	"IS03"
"108"	"TCGA.Z4.A9VC"	"S03"	"IS03"
"109"	"TCGA.3R.A8YX"	"S04"	"IS04"
"110"	"TCGA.DX.A1L1"	"S04"	"IS04"
"111"	"TCGA.DX.A23U"	"S04"	"IS04"
"112"	"TCGA.DX.A3LS"	"S04"	"IS04"
"113"	"TCGA.DX.A6YQ"	"S04"	"IS04"
"114"	"TCGA.DX.A6YR"	"S04"	"IS04"
"115"	"TCGA.DX.A6YT"	"S04"	"IS04"
"116"	"TCGA.DX.A6YV"	"S04"	"IS04"
"117"	"TCGA.DX.A6YX"	"S04"	"IS04"
"118"	"TCGA.DX.A7EF"	"S04"	"IS04"
"119"	"TCGA.DX.A8BH"	"S04"	"IS04"
"120"	"TCGA.DX.A8BJ"	"S04"	"IS04"
"121"	"TCGA.DX.A8BM"	"S04"	"IS04"
"122"	"TCGA.DX.A8BP"	"S04"	"IS04"
"123"	"TCGA.DX.A8BQ"	"S04"	"IS04"
"124"	"TCGA.DX.A8BS"	"S04"	"IS04"
"125"	"TCGA.DX.A8BU"	"S04"	"IS04"
"126"	"TCGA.DX.AB2E"	"S04"	"IS04"
"127"	"TCGA.DX.AB2O"	"S04"	"IS04"
"128"	"TCGA.DX.AB2P"	"S04"	"IS04"
"129"	"TCGA.DX.AB2Q"	"S04"	"IS04"
"130"	"TCGA.DX.AB2T"	"S04"	"IS04"
"131"	"TCGA.DX.AB2W"	"S04"	"IS04"
"132"	"TCGA.DX.AB2X"	"S04"	"IS04"
"133"	"TCGA.DX.AB2Z"	"S04"	"IS04"
"134"	"TCGA.DX.AB36"	"S04"	"IS04"
"135"	"TCGA.FX.A3TO"	"S04"	"IS04"
"136"	"TCGA.HB.A2OT"	"S04"	"IS04"
"137"	"TCGA.IE.A6BZ"	"S04"	"IS04"
"138"	"TCGA.LI.A9QH"	"S04"	"IS04"
"139"	"TCGA.MB.A5Y8"	"S04"	"IS04"
"140"	"TCGA.QC.A6FX"	"S04"	"IS04"
"141"	"TCGA.SG.A6Z4"	"S04"	"IS04"
"142"	"TCGA.SG.A849"	"S04"	"IS04"
"143"	"TCGA.SI.A71O"	"S04"	"IS04"
"144"	"TCGA.SI.A71P"	"S04"	"IS04"
"145"	"TCGA.SI.AA8B"	"S04"	"IS04"
"146"	"TCGA.UE.A6QU"	"S04"	"IS04"
"147"	"TCGA.VT.A80G"	"S04"	"IS04"
"148"	"TCGA.VT.A80J"	"S04"	"IS04"
"149"	"TCGA.WK.A8Y0"	"S04"	"IS04"
"150"	"TCGA.X6.A8C2"	"S04"	"IS04"
"151"	"TCGA.X6.A8C3"	"S04"	"IS04"
"152"	"TCGA.X6.A8C4"	"S04"	"IS04"
"153"	"TCGA.Z4.AAPG"	"S04"	"IS04"
